"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF436",376.955070307008,0.509898429754281,0.104329723880917,4.8873744776348,1.02189606628949e-06,4.73165185267288e-06
"ASAP3",146.600815969013,-0.639173392829019,0.161883646623463,-3.94835059723926,7.86915022773331e-05,0.000280367647793559
"E2F2",268.639104118568,-1.83639187523549,0.134663328810809,-13.6369113362367,2.41577481057512e-42,8.65500553904062e-41
"LOC101928163",9.09674165409226,-2.13791862632666,0.723867693545452,-2.95346600682687,0.00314227213869283,0.00843163880455382
"ID3",338.709626500859,-1.52632177796523,0.131584175177916,-11.5995846453533,4.14083056402044e-31,1.02784996686243e-29
"PITHD1",573.686674879144,0.628031371392953,0.0921269093910352,6.81702420654595,9.29456085604855e-12,7.20728404418464e-11
"GALE",789.621443106238,1.18927826442061,0.0928307234575068,12.8112570938327,1.41818235214275e-37,4.37620961780214e-36
"PNRC2",1016.70160462667,-0.614435051662952,0.0864920576805464,-7.10394767034371,1.2124277954712e-12,1.01529559954398e-11
"SRSF10",1909.05557517407,-0.458924665007814,0.0653371283313007,-7.02394911941607,2.15683379731301e-12,1.76513632431325e-11
"IL22RA1",50.9127861974005,-1.03235390127758,0.27906686744885,-3.69930658811296,0.000216189318630746,0.000716166858647919
"IFNLR1",339.022858428665,1.04621092859611,0.108939179530249,9.60362408737993,7.71818423863466e-22,1.19390041342863e-20
"NIPAL3",457.094337699898,0.468847957428036,0.0995274273980805,4.71074124675986,2.46817441298237e-06,1.09473224455711e-05
"SRRM1",2108.52658910001,-0.364104536476756,0.0773061924150124,-4.70990130418129,2.47836775558052e-06,1.09861903376827e-05
"RUNX3",404.169385688464,1.27978313265959,0.114993743867747,11.1291544184478,9.04898127941338e-29,1.99354146254656e-27
"MACO1",512.201569645346,0.729694756594136,0.0953463671996769,7.6530944809464,1.96199648347506e-14,1.8917677168916e-13
"SELENON",1083.70462404617,-0.243244060635964,0.0919897066856194,-2.64425303004026,0.00818714284744021,0.0201283084930041
"LOC646471",75.3013796640746,0.775842860845941,0.212376489468351,3.65314853253359,0.000259044282748979,0.00084615497905009
"MTFR1L",330.272466076934,0.460423877603046,0.112627916043504,4.08800849538228,4.35092223832017e-05,0.000160672068968786
"AUNIP",128.997203122571,-1.41907874033722,0.179356517198153,-7.91205562254215,2.53173222744947e-15,2.59967786158785e-14
"STMN1",2517.78432398164,-1.17208376604925,0.0792213678838173,-14.795045798353,1.57676982255494e-49,6.76546880291965e-48
"PAFAH2",193.417115336523,-0.811556758392236,0.145687509391598,-5.5705308010368,2.53964412487319e-08,1.42133312963788e-07
"PDIK1L",257.526717768641,-0.357577459373104,0.128564336298182,-2.7813114403964,0.0054139771237831,0.0138587047937067
"SH3BGRL3",778.038332193882,0.615779769015575,0.117621163446844,5.23528037787062,1.64734601027195e-07,8.38373974897227e-07
"UBXN11",101.414784250238,-0.533707873347309,0.195549208611396,-2.72927657001117,0.00634734452969542,0.016002447645445
"CRYBG2",35.9800831632296,0.876563381912112,0.310934371287427,2.81912668027883,0.0048154509342293,0.012446821756418
"HMGN2",2121.85254325938,-1.01273827794327,0.0768763543694665,-13.1735991677762,1.24517178214148e-39,4.05040445595154e-38
"LOC101928728",14.2056343123184,-1.55962293494975,0.536318254088955,-2.90801762397419,0.00363727838498353,0.00964118921605977
"PIGV",156.184155312127,-0.727979120558844,0.163255624497235,-4.45913654001657,8.22904888660812e-06,3.40831280132303e-05
"ZDHHC18",494.778446388099,0.612867653828482,0.0968142862514997,6.33034315035285,2.44616568717948e-10,1.66411294256933e-09
"SFN",2804.7467394438,0.858339668243249,0.0904822897276158,9.48627262668926,2.39443249527392e-21,3.60786521716817e-20
"NUDC",884.42574621181,-0.648163667976082,0.0943012947992834,-6.87332734248955,6.27214128927623e-12,4.95964274567999e-11
"TENT5B",173.953152018377,0.525756611071046,0.155798618491234,3.37459096982062,0.000739254782326646,0.00223225710997126
"SLC9A1",286.617917260188,0.723861690797212,0.117325746607603,6.16967470250306,6.84306299485265e-10,4.42637610302368e-09
"MAP3K6",167.276973495769,-0.46731014480579,0.148268622126305,-3.15178045161642,0.0016227823971173,0.00461337144320096
"GPR3",35.2391551363767,-1.18055353704074,0.321479105330615,-3.67225588682237,0.000240418769071416,0.000791051056679933
"WASF2",2870.6290072061,0.887516160770047,0.0636738610370489,13.9384693548526,3.69785746920676e-44,1.39412321030492e-42
"AHDC1",607.05620962549,0.881124907211652,0.0977862348108726,9.01072537372798,2.04698026293456e-19,2.7777583824054e-18
"IFI6",674.454528012133,-0.591621832607336,0.0882941726458366,-6.70057620881091,2.07599297317369e-11,1.56271801877874e-10
"STX12",676.367439200215,0.681221391525538,0.0856033591560851,7.95788153924464,1.75009785647972e-15,1.81883007333454e-14
"THEMIS2",86.1393821620038,-0.46580302169489,0.202832600930372,-2.29648991117946,0.0216478853561394,0.0477498827421037
"RPA2",648.935849467572,-0.641468565068482,0.101981513840249,-6.29004748912948,3.17368867795137e-10,2.12692613110307e-09
"SMPDL3B",133.374431174824,-0.424392833284102,0.167874759512627,-2.52803241247343,0.011470376203487,0.0272629450755789
"XKR8",116.204536004251,0.437261567506343,0.173404541063684,2.52162697022886,0.0116813509854163,0.0276767849208765
"DNAJC8",815.338109214911,-0.807100058399076,0.0891587773143653,-9.0523903838802,1.39872230615815e-19,1.91683457637081e-18
